# Per-triangle psi statistic data for n=7
# Format: triangle_index l1[0..n-1] l2[0..2n-1] | psi_dist (q:count pairs)
# Canonical triangles with level1 = (0,1,...,n-1) and boundary ordering
# Total triangles: 3098
# Each row: idx l1_data l2_data | q0:c0 q1:c1 ...
#
97 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 0 2 4 5 3 5 6 | 5:4 6:130 7:308 8:514 9:710 10:854 11:854 12:710 13:514 14:308 15:130 16:4 
98 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 0 3 2 5 4 5 6 | 5:16 6:140 7:332 8:524 9:676 10:832 11:832 12:676 13:524 14:332 15:140 16:16 
99 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 0 3 4 5 2 5 6 | 5:24 6:134 7:324 8:514 9:694 10:830 11:830 12:694 13:514 14:324 15:134 16:24 
100 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 0 5 2 3 4 5 6 | 5:4 6:82 7:316 8:522 9:698 10:898 11:898 12:698 13:522 14:316 15:82 16:4 
101 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 0 5 2 4 3 5 6 | 5:4 6:48 7:300 8:524 9:708 10:936 11:936 12:708 13:524 14:300 15:48 16:4 
102 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 0 5 3 4 2 5 6 | 5:6 6:64 7:300 8:536 9:692 10:922 11:922 12:692 13:536 14:300 15:64 16:6 
103 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 2 3 0 5 4 5 6 | 6:108 7:311 8:535 9:699 10:867 11:867 12:699 13:535 14:311 15:108 
104 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 2 3 4 5 0 5 6 | 6:78 7:294 8:517 9:735 10:896 11:896 12:735 13:517 14:294 15:78 
105 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 2 5 0 3 4 5 6 | 6:46 7:270 8:536 9:722 10:946 11:946 12:722 13:536 14:270 15:46 
106 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 2 5 0 4 3 5 6 | 6:10 7:262 8:528 9:734 10:986 11:986 12:734 13:528 14:262 15:10 
107 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 2 5 3 4 0 5 6 | 6:11 7:214 8:543 9:757 10:995 11:995 12:757 13:543 14:214 15:11 
108 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 3 5 0 2 4 5 6 | 6:72 7:264 8:526 9:738 10:920 11:920 12:738 13:526 14:264 15:72 
109 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 3 5 0 4 2 5 6 | 6:48 7:275 8:509 9:753 10:935 11:935 12:753 13:509 14:275 15:48 
110 0 1 2 3 4 5 6 | 0 1 3 2 4 1 6 3 5 2 4 0 5 6 | 6:33 7:224 8:506 9:798 10:959 11:959 12:798 13:506 14:224 15:33 
111 0 1 2 3 4 5 6 | 0 1 3 2 4 2 5 0 1 3 4 5 6 6 | 5:56 6:188 7:360 8:532 9:664 10:720 11:720 12:664 13:532 14:360 15:188 16:56 
